"ITEM","Item","BANK","Bank","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","2007","2007",37291,,
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","2008","2008",45735,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2007","2007",69845.652,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2008","2008",75503.051,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2009","2009",40528.807,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2007","2007",124648,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2008","2008",124454,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2009","2009",102263,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2007","2007",156436.218,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2008","2008",191917.03,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2009","2009",174605.596,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2007","2007",170074.078,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2008","2008",204303.82,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2009","2009",145487.936,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2007","2007",11655.541,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2008","2008",14543.319,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2009","2009",8243.279,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2007","2007",270374.981,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2008","2008",293674.051,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2009","2009",203055.585,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2007","2007",321070,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2008","2008",327959,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2009","2009",232155,,
"IN01TE","1. Interest income","ALL","All banks","IRL","Ireland","2007","2007",56061.147,,
"IN01TE","1. Interest income","ALL","All banks","IRL","Ireland","2008","2008",58665.975,,
"IN01TE","1. Interest income","ALL","All banks","IRL","Ireland","2009","2009",34454.159,,
"IN01TE","1. Interest income","ALL","All banks","ITA","Italy","2007","2007",138000.75,,
"IN01TE","1. Interest income","ALL","All banks","ITA","Italy","2008","2008",161177.2,,
"IN01TE","1. Interest income","ALL","All banks","ITA","Italy","2009","2009",104013.7,,
"IN01TE","1. Interest income","ALL","All banks","JPN","Japan","2007","2007",14331640,,
"IN01TE","1. Interest income","ALL","All banks","JPN","Japan","2008","2008",13229463,,
"IN01TE","1. Interest income","ALL","All banks","KOR","Korea","2007","2007",78982450.79,,
"IN01TE","1. Interest income","ALL","All banks","KOR","Korea","2008","2008",95380327,,
"IN01TE","1. Interest income","ALL","All banks","KOR","Korea","2009","2009",84843886.162,,
"IN01TE","1. Interest income","ALL","All banks","LUX","Luxembourg","2007","2007",62452.171,,
"IN01TE","1. Interest income","ALL","All banks","LUX","Luxembourg","2008","2008",62483,,
"IN01TE","1. Interest income","ALL","All banks","MEX","Mexico","2007","2007",442914.031,,
"IN01TE","1. Interest income","ALL","All banks","MEX","Mexico","2008","2008",510663.907,,
"IN01TE","1. Interest income","ALL","All banks","MEX","Mexico","2009","2009",464555.573,,
"IN01TE","1. Interest income","ALL","All banks","NLD","Netherlands","2007","2007",179350,,
"IN01TE","1. Interest income","ALL","All banks","NLD","Netherlands","2008","2008",189559,,
"IN01TE","1. Interest income","ALL","All banks","NLD","Netherlands","2009","2009",138401,,
"IN01TE","1. Interest income","ALL","All banks","NZL","New Zealand","2007","2007",25250.262,,
"IN01TE","1. Interest income","ALL","All banks","NZL","New Zealand","2008","2008",29153.451,,
"IN01TE","1. Interest income","ALL","All banks","NZL","New Zealand","2009","2009",21202.892,,
"IN01TE","1. Interest income","ALL","All banks","NOR","Norway","2007","2007",155642,,
"IN01TE","1. Interest income","ALL","All banks","NOR","Norway","2008","2008",208732,,
"IN01TE","1. Interest income","ALL","All banks","NOR","Norway","2009","2009",135717,,
"IN01TE","1. Interest income","ALL","All banks","POL","Poland","2007","2007",43170.302,,
"IN01TE","1. Interest income","ALL","All banks","POL","Poland","2008","2008",58054.374,,
"IN01TE","1. Interest income","ALL","All banks","POL","Poland","2009","2009",55508.016,,
"IN01TE","1. Interest income","ALL","All banks","SVK","Slovak Republic","2007","2007",2698.105,,
"IN01TE","1. Interest income","ALL","All banks","SVK","Slovak Republic","2008","2008",3103.796,,
"IN01TE","1. Interest income","ALL","All banks","SVK","Slovak Republic","2009","2009",2334.75,,
"IN01TE","1. Interest income","ALL","All banks","ESP","Spain","2007","2007",124850,,
"IN01TE","1. Interest income","ALL","All banks","ESP","Spain","2008","2008",153688,,
"IN01TE","1. Interest income","ALL","All banks","ESP","Spain","2009","2009",110891,,
"IN01TE","1. Interest income","ALL","All banks","SWE","Sweden","2007","2007",210432,,
"IN01TE","1. Interest income","ALL","All banks","SWE","Sweden","2008","2008",271986,,
"IN01TE","1. Interest income","ALL","All banks","SWE","Sweden","2009","2009",160896,,
"IN01TE","1. Interest income","ALL","All banks","CHE","Switzerland","2007","2007",147213,,
"IN01TE","1. Interest income","ALL","All banks","CHE","Switzerland","2008","2008",114651,,
"IN01TE","1. Interest income","ALL","All banks","CHE","Switzerland","2009","2009",57071,,
"IN01TE","1. Interest income","ALL","All banks","USA","United States","2007","2007",769686.397,,
"IN01TE","1. Interest income","ALL","All banks","USA","United States","2008","2008",659539.96,,
"IN01TE","1. Interest income","ALL","All banks","USA","United States","2009","2009",586014.087,,
"IN01TE","1. Interest income","ALL","All banks","CHL","Chile","2007","2007",6606266.05,,
"IN01TE","1. Interest income","ALL","All banks","CHL","Chile","2008","2008",9201865,,
"IN01TE","1. Interest income","ALL","All banks","CHL","Chile","2009","2009",4809910,,
"IN01TE","1. Interest income","ALL","All banks","EST","Estonia","2007","2007",987.617,,
"IN01TE","1. Interest income","ALL","All banks","EST","Estonia","2008","2008",1283.231,,
"IN01TE","1. Interest income","ALL","All banks","EST","Estonia","2009","2009",818.19,,
"IN01TE","1. Interest income","ALL","All banks","ISR","Israel","2007","2007",37644.5,,
"IN01TE","1. Interest income","ALL","All banks","ISR","Israel","2008","2008",41599.2,,
"IN01TE","1. Interest income","ALL","All banks","ISR","Israel","2009","2009",46719.5,,
"IN01TE","1. Interest income","ALL","All banks","RUS","Russia","2007","2007",1418992.063,,
"IN01TE","1. Interest income","ALL","All banks","RUS","Russia","2008","2008",2191657.949,,
"IN01TE","1. Interest income","ALL","All banks","RUS","Russia","2009","2009",2761156.024,,
"IN01TE","1. Interest income","ALL","All banks","SVN","Slovenia","2007","2007",2302.512,,
"IN01TE","1. Interest income","ALL","All banks","SVN","Slovenia","2008","2008",3072.365,,
"IN01TE","1. Interest income","ALL","All banks","SVN","Slovenia","2009","2009",2484.156,,
"IN02TE","2. Interest expenses","ALL","All banks","AUT","Austria","2007","2007",29900,,
"IN02TE","2. Interest expenses","ALL","All banks","AUT","Austria","2008","2008",37576,,
"IN02TE","2. Interest expenses","ALL","All banks","BEL","Belgium","2007","2007",61899.496,,
"IN02TE","2. Interest expenses","ALL","All banks","BEL","Belgium","2008","2008",65903.335,,
"IN02TE","2. Interest expenses","ALL","All banks","BEL","Belgium","2009","2009",30510.147,,
"IN02TE","2. Interest expenses","ALL","All banks","CAN","Canada","2007","2007",81555,,
"IN02TE","2. Interest expenses","ALL","All banks","CAN","Canada","2008","2008",74854,,
"IN02TE","2. Interest expenses","ALL","All banks","CAN","Canada","2009","2009",46043,,
"IN02TE","2. Interest expenses","ALL","All banks","CZE","Czech Republic","2007","2007",71738.07,,
"IN02TE","2. Interest expenses","ALL","All banks","CZE","Czech Republic","2008","2008",93874.309,,
"IN02TE","2. Interest expenses","ALL","All banks","CZE","Czech Republic","2009","2009",71315.896,,
"IN02TE","2. Interest expenses","ALL","All banks","DNK","Denmark","2007","2007",127356.373,,
"IN02TE","2. Interest expenses","ALL","All banks","DNK","Denmark","2008","2008",151333.485,,
"IN02TE","2. Interest expenses","ALL","All banks","DNK","Denmark","2009","2009",75904.973,,
"IN02TE","2. Interest expenses","ALL","All banks","FIN","Finland","2007","2007",8063.449,,
"IN02TE","2. Interest expenses","ALL","All banks","FIN","Finland","2008","2008",10159.871,,
"IN02TE","2. Interest expenses","ALL","All banks","FIN","Finland","2009","2009",4583.439,,
"IN02TE","2. Interest expenses","ALL","All banks","FRA","France","2007","2007",248715.523,,
"IN02TE","2. Interest expenses","ALL","All banks","FRA","France","2008","2008",262799.345,,
"IN02TE","2. Interest expenses","ALL","All banks","FRA","France","2009","2009",161637.735,,
"IN02TE","2. Interest expenses","ALL","All banks","DEU","Germany","2007","2007",236840,,
"IN02TE","2. Interest expenses","ALL","All banks","DEU","Germany","2008","2008",244654,,
"IN02TE","2. Interest expenses","ALL","All banks","DEU","Germany","2009","2009",149384,,
"IN02TE","2. Interest expenses","ALL","All banks","IRL","Ireland","2007","2007",43263.677,,
"IN02TE","2. Interest expenses","ALL","All banks","IRL","Ireland","2008","2008",44122.315,,
"IN02TE","2. Interest expenses","ALL","All banks","IRL","Ireland","2009","2009",22933.206,,
"IN02TE","2. Interest expenses","ALL","All banks","ITA","Italy","2007","2007",83415.58,,
"IN02TE","2. Interest expenses","ALL","All banks","ITA","Italy","2008","2008",102169.03,,
"IN02TE","2. Interest expenses","ALL","All banks","ITA","Italy","2009","2009",55295.51,,
"IN02TE","2. Interest expenses","ALL","All banks","JPN","Japan","2007","2007",5739557,,
"IN02TE","2. Interest expenses","ALL","All banks","JPN","Japan","2008","2008",4525749,,
"IN02TE","2. Interest expenses","ALL","All banks","KOR","Korea","2007","2007",44502975.627,,
"IN02TE","2. Interest expenses","ALL","All banks","KOR","Korea","2008","2008",57851668,,
"IN02TE","2. Interest expenses","ALL","All banks","KOR","Korea","2009","2009",50030840.734,,
"IN02TE","2. Interest expenses","ALL","All banks","LUX","Luxembourg","2007","2007",56349.853,,
"IN02TE","2. Interest expenses","ALL","All banks","LUX","Luxembourg","2008","2008",55023,,
"IN02TE","2. Interest expenses","ALL","All banks","MEX","Mexico","2007","2007",231526.581,,
"IN02TE","2. Interest expenses","ALL","All banks","MEX","Mexico","2008","2008",263779.58,,
"IN02TE","2. Interest expenses","ALL","All banks","MEX","Mexico","2009","2009",209289.493,,
"IN02TE","2. Interest expenses","ALL","All banks","NLD","Netherlands","2007","2007",149337,,
"IN02TE","2. Interest expenses","ALL","All banks","NLD","Netherlands","2008","2008",158451,,
"IN02TE","2. Interest expenses","ALL","All banks","NLD","Netherlands","2009","2009",108413,,
"IN02TE","2. Interest expenses","ALL","All banks","NZL","New Zealand","2007","2007",19090.224,,
"IN02TE","2. Interest expenses","ALL","All banks","NZL","New Zealand","2008","2008",22248.861,,
"IN02TE","2. Interest expenses","ALL","All banks","NZL","New Zealand","2009","2009",14304.354,,
"IN02TE","2. Interest expenses","ALL","All banks","NOR","Norway","2007","2007",112868,,
"IN02TE","2. Interest expenses","ALL","All banks","NOR","Norway","2008","2008",156849,,
"IN02TE","2. Interest expenses","ALL","All banks","NOR","Norway","2009","2009",82615,,
"IN02TE","2. Interest expenses","ALL","All banks","POL","Poland","2007","2007",18857.294,,
"IN02TE","2. Interest expenses","ALL","All banks","POL","Poland","2008","2008",30030.797,,
"IN02TE","2. Interest expenses","ALL","All banks","POL","Poland","2009","2009",29136.567,,
"IN02TE","2. Interest expenses","ALL","All banks","SVK","Slovak Republic","2007","2007",1377.827,,
"IN02TE","2. Interest expenses","ALL","All banks","SVK","Slovak Republic","2008","2008",1558.513,,
"IN02TE","2. Interest expenses","ALL","All banks","SVK","Slovak Republic","2009","2009",773.783,,
"IN02TE","2. Interest expenses","ALL","All banks","ESP","Spain","2007","2007",81458,,
"IN02TE","2. Interest expenses","ALL","All banks","ESP","Spain","2008","2008",106495,,
"IN02TE","2. Interest expenses","ALL","All banks","ESP","Spain","2009","2009",60055,,
"IN02TE","2. Interest expenses","ALL","All banks","SWE","Sweden","2007","2007",159214,,
"IN02TE","2. Interest expenses","ALL","All banks","SWE","Sweden","2008","2008",209274,,
